;ID;CLUSTER
419;Charente | 1990;2
420;Charente-Maritime | 1990;2
421;Cher | 1990;2
422;Corrèze | 1990;2
423;Côte-d'Or | 1990;2
424;Côtes-d'Armor | 1990;2
425;Creuse | 1990;2
426;Dordogne | 1990;2
427;Doubs | 1990;2
428;Drôme | 1990;2
429;Eure | 1990;2
430;Eure-et-Loir | 1990;2
431;Finistère | 1990;1
432;Corse-du-Sud | 1990;2
433;Haute-Corse | 1990;2
434;Gard | 1990;2
435;Haute-Garonne | 1990;1
436;Gers | 1990;2
437;Gironde | 1990;1
438;Hérault | 1990;1
439;Ille-et-Vilaine | 1990;1
440;Indre | 1990;2
441;Indre-et-Loire | 1990;2
442;Isère | 1990;1
443;Jura | 1990;2
444;Landes | 1990;2
445;Loir-et-Cher | 1990;2
446;Loire | 1990;1
447;Haute-Loire | 1990;2
448;Loire-Atlantique | 1990;1
449;Loiret | 1990;2
450;Lot | 1990;2
451;Lot-et-Garonne | 1990;2
452;Lozère | 1990;2
453;Maine-et-Loire | 1990;1
454;Manche | 1990;2
455;Marne | 1990;2
456;Haute-Marne | 1990;2
457;Mayenne | 1990;2
458;Meurthe-et-Moselle | 1990;1
459;Meuse | 1990;2
460;Morbihan | 1990;2
461;Moselle | 1990;1
462;Nièvre | 1990;2
463;Nord | 1990;0
464;Oise | 1990;2
465;Orne | 1990;2
466;Pas-de-Calais | 1990;1
467;Puy-de-Dôme | 1990;2
468;Pyrénées-Atlantiques | 1990;2
469;Hautes-Pyrénées | 1990;2
470;Pyrénées-Orientales | 1990;2
471;Bas-Rhin | 1990;1
472;Haut-Rhin | 1990;2
473;Rhône | 1990;1
474;Haute-Saône | 1990;2
475;Saône-et-Loire | 1990;2
476;Sarthe | 1990;2
477;Savoie | 1990;2
478;Haute-Savoie | 1990;2
479;Paris | 1990;0
480;Seine-Maritime | 1990;1
481;Seine-et-Marne | 1990;1
482;Yvelines | 1990;1
483;Deux-Sèvres | 1990;2
484;Somme | 1990;2
485;Tarn | 1990;2
486;Tarn-et-Garonne | 1990;2
487;Var | 1990;1
488;Vaucluse | 1990;2
489;Vendée | 1990;2
490;Vienne | 1990;2
491;Haute-Vienne | 1990;2
492;Vosges | 1990;2
493;Yonne | 1990;2
494;Territoire de Belfort | 1990;2
495;Essonne | 1990;1
