;ID;CLUSTER
416;Corse-du-Sud | 1990;2
417;Haute-Corse | 1990;2
418;Gard | 1990;0
419;Haute-Garonne | 1990;0
420;Gers | 1990;2
421;Gironde | 1990;1
422;Hérault | 1990;0
423;Ille-et-Vilaine | 1990;0
424;Indre | 1990;2
425;Indre-et-Loire | 1990;0
426;Isère | 1990;0
427;Jura | 1990;2
428;Landes | 1990;2
429;Loir-et-Cher | 1990;2
430;Loire | 1990;0
431;Haute-Loire | 1990;2
432;Loire-Atlantique | 1990;0
433;Loiret | 1990;0
434;Lot | 1990;2
435;Lot-et-Garonne | 1990;2
436;Lozère | 1990;2
437;Maine-et-Loire | 1990;0
438;Manche | 1990;0
439;Marne | 1990;0
440;Haute-Marne | 1990;2
441;Mayenne | 1990;2
442;Meurthe-et-Moselle | 1990;0
443;Meuse | 1990;2
444;Morbihan | 1990;0
445;Moselle | 1990;0
446;Nièvre | 1990;2
447;Nord | 1990;1
448;Oise | 1990;0
449;Orne | 1990;2
450;Pas-de-Calais | 1990;1
451;Puy-de-Dôme | 1990;0
452;Pyrénées-Atlantiques | 1990;0
453;Hautes-Pyrénées | 1990;2
454;Pyrénées-Orientales | 1990;2
455;Bas-Rhin | 1990;0
456;Haut-Rhin | 1990;0
457;Rhône | 1990;1
458;Haute-Saône | 1990;2
459;Saône-et-Loire | 1990;0
460;Sarthe | 1990;0
461;Savoie | 1990;2
462;Haute-Savoie | 1990;0
463;Paris | 1990;1
464;Seine-Maritime | 1990;1
465;Seine-et-Marne | 1990;0
466;Yvelines | 1990;1
467;Deux-Sèvres | 1990;2
468;Somme | 1990;0
469;Tarn | 1990;2
470;Tarn-et-Garonne | 1990;2
471;Var | 1990;0
472;Vaucluse | 1990;2
473;Vendée | 1990;0
474;Vienne | 1990;2
475;Haute-Vienne | 1990;2
476;Vosges | 1990;2
477;Yonne | 1990;2
478;Territoire de Belfort | 1990;2
479;Essonne | 1990;0
480;Hauts-de-Seine | 1990;1
481;Seine-Saint-Denis | 1990;1
482;Val-de-Marne | 1990;1
483;Val-d'Oise | 1990;0
484;Guadeloupe | 1990;2
485;Martinique | 1990;2
486;Guyane | 1990;2
487;La Réunion | 1990;0
488;Ain | 1999;0
489;Aisne | 1999;0
490;Allier | 1999;2
491;Alpes-de-Haute-Provence | 1999;2
492;Hautes-Alpes | 1999;2
493;Alpes-Maritimes | 1999;0
494;Ardèche | 1999;2
495;Ardennes | 1999;2
496;Ariège | 1999;2
497;Aube | 1999;2
498;Aude | 1999;2
499;Aveyron | 1999;2
500;Bouches-du-Rhône | 1999;1
501;Calvados | 1999;0
502;Cantal | 1999;2
503;Charente | 1999;2
504;Charente-Maritime | 1999;0
505;Cher | 1999;2
506;Corrèze | 1999;2
507;Côte-d'Or | 1999;0
508;Côtes-d'Armor | 1999;0
509;Creuse | 1999;2
510;Dordogne | 1999;2
511;Doubs | 1999;0
512;Drôme | 1999;2
513;Eure | 1999;0
514;Eure-et-Loir | 1999;2
515;Finistère | 1999;0
516;Corse-du-Sud | 1999;2
517;Haute-Corse | 1999;2
518;Gard | 1999;0
519;Haute-Garonne | 1999;0
520;Gers | 1999;2
521;Gironde | 1999;1
522;Hérault | 1999;0
523;Ille-et-Vilaine | 1999;0
524;Indre | 1999;2
525;Indre-et-Loire | 1999;0
526;Isère | 1999;0
527;Jura | 1999;2
528;Landes | 1999;2
529;Loir-et-Cher | 1999;2
530;Loire | 1999;0
531;Haute-Loire | 1999;2
532;Loire-Atlantique | 1999;1
533;Loiret | 1999;0
534;Lot | 1999;2
535;Lot-et-Garonne | 1999;2
536;Lozère | 1999;2
537;Maine-et-Loire | 1999;0
538;Manche | 1999;2
539;Marne | 1999;0
540;Haute-Marne | 1999;2
541;Mayenne | 1999;2
542;Meurthe-et-Moselle | 1999;0
543;Meuse | 1999;2
544;Morbihan | 1999;0
545;Moselle | 1999;0
546;Nièvre | 1999;2
547;Nord | 1999;1
548;Oise | 1999;0
549;Orne | 1999;2
550;Pas-de-Calais | 1999;1
551;Puy-de-Dôme | 1999;0
552;Pyrénées-Atlantiques | 1999;0
553;Hautes-Pyrénées | 1999;2
554;Pyrénées-Orientales | 1999;2
555;Bas-Rhin | 1999;0
556;Haut-Rhin | 1999;0
557;Rhône | 1999;1
558;Haute-Saône | 1999;2
559;Saône-et-Loire | 1999;0
560;Sarthe | 1999;0
561;Savoie | 1999;2
562;Haute-Savoie | 1999;0
563;Paris | 1999;1
564;Seine-Maritime | 1999;1
565;Seine-et-Marne | 1999;1
566;Yvelines | 1999;1
567;Deux-Sèvres | 1999;2
568;Somme | 1999;0
569;Tarn | 1999;2
570;Tarn-et-Garonne | 1999;2
571;Var | 1999;0
572;Vaucluse | 1999;0
573;Vendée | 1999;0
574;Vienne | 1999;2
575;Haute-Vienne | 1999;2
576;Vosges | 1999;2
577;Yonne | 1999;2
578;Territoire de Belfort | 1999;2
579;Essonne | 1999;1
580;Hauts-de-Seine | 1999;1
581;Seine-Saint-Denis | 1999;1
582;Val-de-Marne | 1999;1
583;Val-d'Oise | 1999;0
584;Guadeloupe | 1999;2
585;Martinique | 1999;2
586;Guyane | 1999;2
587;La Réunion | 1999;0
588;Ain | 2006;0
589;Aisne | 2006;0
590;Allier | 2006;2
591;Alpes-de-Haute-Provence | 2006;2
592;Hautes-Alpes | 2006;2
593;Alpes-Maritimes | 2006;0
594;Ardèche | 2006;2
595;Ardennes | 2006;2
596;Ariège | 2006;2
597;Aube | 2006;2
598;Aude | 2006;2
599;Aveyron | 2006;2
600;Bouches-du-Rhône | 2006;1
601;Calvados | 2006;0
602;Cantal | 2006;2
603;Charente | 2006;2
604;Charente-Maritime | 2006;0
605;Cher | 2006;2
606;Corrèze | 2006;2
607;Côte-d'Or | 2006;0
608;Côtes-d'Armor | 2006;0
609;Creuse | 2006;2
610;Dordogne | 2006;2
611;Doubs | 2006;0
612;Drôme | 2006;2
613;Eure | 2006;0
614;Eure-et-Loir | 2006;2
615;Finistère | 2006;0
616;Corse-du-Sud | 2006;2
617;Haute-Corse | 2006;2
618;Gard | 2006;0
619;Haute-Garonne | 2006;1
620;Gers | 2006;2
621;Gironde | 2006;1
622;Hérault | 2006;0
623;Ille-et-Vilaine | 2006;0
624;Indre | 2006;2
625;Indre-et-Loire | 2006;0
626;Isère | 2006;1
627;Jura | 2006;2
628;Landes | 2006;2
629;Loir-et-Cher | 2006;2
630;Loire | 2006;0
631;Haute-Loire | 2006;2
632;Loire-Atlantique | 2006;1
633;Loiret | 2006;0
634;Lot | 2006;2
635;Lot-et-Garonne | 2006;2
636;Lozère | 2006;2
637;Maine-et-Loire | 2006;0
638;Manche | 2006;0
639;Marne | 2006;0
640;Haute-Marne | 2006;2
641;Mayenne | 2006;2
642;Meurthe-et-Moselle | 2006;0
643;Meuse | 2006;2
644;Morbihan | 2006;0
645;Moselle | 2006;0
646;Nièvre | 2006;2
647;Nord | 2006;1
648;Oise | 2006;0
649;Orne | 2006;2
650;Pas-de-Calais | 2006;1
651;Puy-de-Dôme | 2006;0
652;Pyrénées-Atlantiques | 2006;0
653;Hautes-Pyrénées | 2006;2
654;Pyrénées-Orientales | 2006;2
655;Bas-Rhin | 2006;0
656;Haut-Rhin | 2006;0
657;Rhône | 2006;1
658;Haute-Saône | 2006;2
659;Saône-et-Loire | 2006;0
660;Sarthe | 2006;0
661;Savoie | 2006;2
662;Haute-Savoie | 2006;0
663;Paris | 2006;1
664;Seine-Maritime | 2006;1
665;Seine-et-Marne | 2006;1
666;Yvelines | 2006;1
667;Deux-Sèvres | 2006;2
668;Somme | 2006;0
669;Tarn | 2006;2
670;Tarn-et-Garonne | 2006;2
671;Var | 2006;0
672;Vaucluse | 2006;0
673;Vendée | 2006;0
674;Vienne | 2006;2
675;Haute-Vienne | 2006;2
676;Vosges | 2006;2
677;Yonne | 2006;2
678;Territoire de Belfort | 2006;2
679;Essonne | 2006;1
680;Hauts-de-Seine | 2006;1
681;Seine-Saint-Denis | 2006;1
682;Val-de-Marne | 2006;1
683;Val-d'Oise | 2006;1
684;Guadeloupe | 2006;2
685;Martinique | 2006;2
686;Guyane | 2006;2
687;La Réunion | 2006;0
688;Ain | 2011;0
689;Aisne | 2011;0
690;Allier | 2011;2
691;Alpes-de-Haute-Provence | 2011;2
692;Hautes-Alpes | 2011;2
693;Alpes-Maritimes | 2011;0
694;Ardèche | 2011;2
695;Ardennes | 2011;2
696;Ariège | 2011;2
697;Aube | 2011;2
698;Aude | 2011;2
699;Aveyron | 2011;2
700;Bouches-du-Rhône | 2011;1
701;Calvados | 2011;0
702;Cantal | 2011;2
703;Charente | 2011;2
704;Charente-Maritime | 2011;0
705;Cher | 2011;2
706;Corrèze | 2011;2
707;Côte-d'Or | 2011;0
708;Côtes-d'Armor | 2011;0
709;Creuse | 2011;2
710;Dordogne | 2011;2
711;Doubs | 2011;0
712;Drôme | 2011;2
713;Eure | 2011;0
714;Eure-et-Loir | 2011;2
715;Finistère | 2011;0
716;Corse-du-Sud | 2011;2
717;Haute-Corse | 2011;2
718;Gard | 2011;0
719;Haute-Garonne | 2011;1
720;Gers | 2011;2
721;Gironde | 2011;1
722;Hérault | 2011;0
723;Ille-et-Vilaine | 2011;0
724;Indre | 2011;2
725;Indre-et-Loire | 2011;0
726;Isère | 2011;1
727;Jura | 2011;2
728;Landes | 2011;2
729;Loir-et-Cher | 2011;2
730;Loire | 2011;0
731;Haute-Loire | 2011;2
732;Loire-Atlantique | 2011;1
733;Loiret | 2011;0
734;Lot | 2011;2
735;Lot-et-Garonne | 2011;2
736;Lozère | 2011;2
737;Maine-et-Loire | 2011;0
738;Manche | 2011;0
739;Marne | 2011;0
740;Haute-Marne | 2011;2
741;Mayenne | 2011;2
742;Meurthe-et-Moselle | 2011;0
743;Meuse | 2011;2
744;Morbihan | 2011;0
745;Moselle | 2011;0
746;Nièvre | 2011;2
747;Nord | 2011;1
748;Oise | 2011;0
749;Orne | 2011;2
750;Pas-de-Calais | 2011;1
751;Puy-de-Dôme | 2011;0
752;Pyrénées-Atlantiques | 2011;0
753;Hautes-Pyrénées | 2011;2
754;Pyrénées-Orientales | 2011;2
755;Bas-Rhin | 2011;0
756;Haut-Rhin | 2011;0
757;Rhône | 2011;1
758;Haute-Saône | 2011;2
759;Saône-et-Loire | 2011;0
760;Sarthe | 2011;0
761;Savoie | 2011;2
762;Haute-Savoie | 2011;0
763;Paris | 2011;1
764;Seine-Maritime | 2011;1
765;Seine-et-Marne | 2011;1
766;Yvelines | 2011;1
767;Deux-Sèvres | 2011;2
768;Somme | 2011;0
769;Tarn | 2011;2
770;Tarn-et-Garonne | 2011;2
771;Var | 2011;0
772;Vaucluse | 2011;0
773;Vendée | 2011;0
774;Vienne | 2011;2
775;Haute-Vienne | 2011;2
776;Vosges | 2011;2
777;Yonne | 2011;2
778;Territoire de Belfort | 2011;2
779;Essonne | 2011;1
780;Hauts-de-Seine | 2011;1
781;Seine-Saint-Denis | 2011;1
782;Val-de-Marne | 2011;1
783;Val-d'Oise | 2011;1
784;Guadeloupe | 2011;2
785;Martinique | 2011;2
786;Guyane | 2011;2
787;La Réunion | 2011;0
