;ID;CLUSTER
311;Bouches-du-Rhône | 2016;4
312;Calvados | 2016;2
313;Cantal | 2016;0
314;Charente | 2016;0
315;Charente-Maritime | 2016;2
316;Cher | 2016;0
317;Corrèze | 2016;0
318;Côte-d'Or | 2016;2
319;Côtes-d'Armor | 2016;2
320;Creuse | 2016;0
321;Dordogne | 2016;0
322;Doubs | 2016;2
323;Drôme | 2016;0
324;Eure | 2016;0
325;Eure-et-Loir | 2016;0
326;Finistère | 2016;2
327;Corse-du-Sud | 2016;0
328;Haute-Corse | 2016;0
329;Gard | 2016;2
330;Haute-Garonne | 2016;2
331;Gers | 2016;0
332;Gironde | 2016;4
333;Hérault | 2016;2
334;Ille-et-Vilaine | 2016;4
335;Indre | 2016;0
336;Indre-et-Loire | 2016;2
337;Isère | 2016;2
338;Jura | 2016;0
339;Landes | 2016;0
340;Loir-et-Cher | 2016;0
341;Loire | 2016;2
342;Haute-Loire | 2016;0
343;Loire-Atlantique | 2016;4
344;Loiret | 2016;2
345;Lot | 2016;0
346;Lot-et-Garonne | 2016;0
347;Lozère | 2016;0
348;Maine-et-Loire | 2016;2
349;Manche | 2016;2
350;Marne | 2016;2
351;Haute-Marne | 2016;0
352;Mayenne | 2016;0
353;Meurthe-et-Moselle | 2016;2
354;Meuse | 2016;0
355;Morbihan | 2016;2
356;Moselle | 2016;4
357;Nièvre | 2016;0
358;Nord | 2016;3
359;Oise | 2016;2
360;Orne | 2016;0
361;Pas-de-Calais | 2016;4
362;Puy-de-Dôme | 2016;2
363;Pyrénées-Atlantiques | 2016;2
364;Hautes-Pyrénées | 2016;0
365;Pyrénées-Orientales | 2016;0
366;Bas-Rhin | 2016;4
367;Haut-Rhin | 2016;2
368;Rhône | 2016;4
369;Haute-Saône | 2016;0
370;Saône-et-Loire | 2016;2
371;Sarthe | 2016;2
372;Savoie | 2016;0
373;Haute-Savoie | 2016;2
374;Paris | 2016;3
375;Seine-Maritime | 2016;4
376;Seine-et-Marne | 2016;2
377;Yvelines | 2016;4
378;Deux-Sèvres | 2016;0
379;Somme | 2016;2
380;Tarn | 2016;0
381;Tarn-et-Garonne | 2016;0
382;Var | 2016;2
383;Vaucluse | 2016;2
384;Vendée | 2016;2
385;Vienne | 2016;0
386;Haute-Vienne | 2016;0
387;Vosges | 2016;2
388;Yonne | 2016;0
389;Territoire de Belfort | 2016;0
390;Essonne | 2016;2
391;Hauts-de-Seine | 2016;4
392;Seine-Saint-Denis | 2016;4
393;Val-de-Marne | 2016;4
394;Val-d'Oise | 2016;4
395;Guadeloupe | 2016;2
396;Martinique | 2016;2
397;Guyane | 2016;0
398;La Réunion | 2016;2
399;faute de frappe | 2016;1
400;Ain | 1990;0
401;Aisne | 1990;2
402;Allier | 1990;0
403;Alpes-de-Haute-Provence | 1990;0
404;Hautes-Alpes | 1990;0
405;Alpes-Maritimes | 1990;2
406;Ardèche | 1990;0
407;Ardennes | 1990;0
408;Ariège | 1990;0
409;Aube | 1990;0
410;Aude | 1990;0
411;Aveyron | 1990;0
412;Bouches-du-Rhône | 1990;4
413;Calvados | 1990;2
414;Cantal | 1990;0
415;Charente | 1990;0
416;Charente-Maritime | 1990;2
417;Cher | 1990;0
418;Corrèze | 1990;0
419;Côte-d'Or | 1990;2
420;Côtes-d'Armor | 1990;2
421;Creuse | 1990;0
422;Dordogne | 1990;0
423;Doubs | 1990;2
424;Drôme | 1990;0
425;Eure | 1990;0
426;Eure-et-Loir | 1990;0
427;Finistère | 1990;4
428;Corse-du-Sud | 1990;0
429;Haute-Corse | 1990;0
430;Gard | 1990;0
431;Haute-Garonne | 1990;2
432;Gers | 1990;0
433;Gironde | 1990;4
434;Hérault | 1990;2
435;Ille-et-Vilaine | 1990;2
436;Indre | 1990;0
437;Indre-et-Loire | 1990;2
438;Isère | 1990;2
439;Jura | 1990;0
440;Landes | 1990;0
