;ID;CLUSTER
320;Haute-Corse | 2016;1
321;Gard | 2016;1
322;Haute-Garonne | 2016;1
323;Gers | 2016;1
324;Gironde | 2016;1
325;Hérault | 2016;1
326;Ille-et-Vilaine | 2016;1
327;Indre | 2016;1
328;Indre-et-Loire | 2016;1
329;Isère | 2016;1
330;Jura | 2016;1
331;Landes | 2016;1
332;Loir-et-Cher | 2016;1
333;Loire | 2016;1
334;Haute-Loire | 2016;1
335;Loire-Atlantique | 2016;1
336;Loiret | 2016;1
337;Lot | 2016;1
338;Lot-et-Garonne | 2016;1
339;Lozère | 2016;1
340;Maine-et-Loire | 2016;1
341;Manche | 2016;1
342;Marne | 2016;1
343;Haute-Marne | 2016;1
344;Mayenne | 2016;1
345;Meurthe-et-Moselle | 2016;1
346;Meuse | 2016;1
347;Morbihan | 2016;1
348;Moselle | 2016;1
349;Nièvre | 2016;1
350;Nord | 2016;1
351;Oise | 2016;1
352;Orne | 2016;1
353;Pas-de-Calais | 2016;1
354;Puy-de-Dôme | 2016;1
355;Pyrénées-Atlantiques | 2016;1
356;Hautes-Pyrénées | 2016;1
357;Pyrénées-Orientales | 2016;1
358;Bas-Rhin | 2016;1
359;Haut-Rhin | 2016;1
360;Rhône | 2016;1
361;Haute-Saône | 2016;1
362;Saône-et-Loire | 2016;1
363;Sarthe | 2016;1
364;Savoie | 2016;1
365;Haute-Savoie | 2016;1
366;Paris | 2016;1
367;Seine-Maritime | 2016;1
368;Seine-et-Marne | 2016;1
369;Yvelines | 2016;1
370;Deux-Sèvres | 2016;1
371;Somme | 2016;1
372;Tarn | 2016;1
373;Tarn-et-Garonne | 2016;1
374;Var | 2016;1
375;Vaucluse | 2016;1
376;Vendée | 2016;1
377;Vienne | 2016;1
378;Haute-Vienne | 2016;1
379;Vosges | 2016;1
380;Yonne | 2016;1
381;Territoire de Belfort | 2016;1
382;Essonne | 2016;1
383;Hauts-de-Seine | 2016;1
384;Seine-Saint-Denis | 2016;1
385;Val-de-Marne | 2016;1
386;Val-d'Oise | 2016;1
387;Guadeloupe | 2016;1
388;Martinique | 2016;1
389;Guyane | 2016;1
390;La Réunion | 2016;1
391;faute de frappe | 2016;0
392;Ain | 1990;1
393;Aisne | 1990;1
394;Allier | 1990;1
395;Alpes-de-Haute-Provence | 1990;1
396;Hautes-Alpes | 1990;1
397;Alpes-Maritimes | 1990;1
398;Ardèche | 1990;1
399;Ardennes | 1990;1
400;Ariège | 1990;1
401;Aube | 1990;1
402;Aude | 1990;1
403;Aveyron | 1990;1
404;Bouches-du-Rhône | 1990;1
405;Calvados | 1990;1
406;Cantal | 1990;1
407;Charente | 1990;1
408;Charente-Maritime | 1990;1
409;Cher | 1990;1
410;Corrèze | 1990;1
411;Côte-d'Or | 1990;1
412;Côtes-d'Armor | 1990;1
413;Creuse | 1990;1
414;Dordogne | 1990;1
415;Doubs | 1990;1
416;Drôme | 1990;1
417;Eure | 1990;1
